frequency_st_y_hz,1,17,33,49,65,81,97,113,129,145,161,177,193,209,225,241,257,273,289,305,321,337,353,369,385,401,417,433,449,465,481,497,513,529,545,561,577,593
321,0.0,0.0,1.0908906120014188e-06,3.3937581599974285e-07,5.860107494101838e-07,3.1854824135982635e-06,3.555953415003005e-06,3.8145499020031396e-06,4.944351088947485e-06,2.6223414092993097e-06,3.572967600629678e-06,2.168107658102516e-06,4.284785304895961e-06,8.191587429003007e-06,8.782953784202547e-06,5.764773215704705e-06,8.22406168621101e-06,1.1788739864096488e-05,1.0677398713200092e-05,6.913767367800402e-06,8.35939330874588e-06,1.0238768639099957e-05,8.597906341200525e-06,6.715656408595225e-06,1.4121726457497416e-05,1.0467102531603186e-05,1.1772233528399308e-05,1.1602620916936958e-05,2.0629129632301816e-05,1.0164654936005175e-05,1.2299657104807983e-05,1.4364750714298009e-05,1.3619854920869406e-05,1.3270831212597225e-05,1.3485475151720846e-05,1.4546512023294182e-05,1.752703528320656e-05,1.5680623098683516e-05
337,0.0,5.662086479973905e-07,2.188627971300081e-06,2.571462423001797e-06,6.146208899976414e-07,1.8065903255973585e-06,2.2313690685000014e-06,3.604859878493863e-06,2.006351982005994e-06,2.9210908392016123e-06,4.36891562730083e-06,6.5088406926024785e-06,5.062692603606256e-06,5.919629783401187e-06,6.5924524647065215e-06,9.240288571778118e-06,8.85762676890476e-06,1.0034565499799225e-05,9.758512289705782e-06,9.10774751939741e-06,1.4625182946870967e-05,7.877511429312551e-06,9.273489744597418e-06,1.32821144216069e-05,1.6083540952650833e-05,1.1656913156112073e-05,1.1844522058495414e-05,4.063123574993277e-06,1.244981047641852e-05,1.4215061917856013e-05,1.1923023545293303e-05,1.618893447590884e-05,1.3158844642801246e-05,1.385360530200298e-05,1.568565256410687e-05,2.3615938256406122e-05,1.526434425665293e-05,2.0634839803255196e-05
353,0.0,9.199616850014832e-07,1.5946639829997332e-06,1.9743995339979035e-06,2.1689343711041655e-06,3.0958945019987642e-06,3.7492657020021804e-06,2.6019548621164164e-06,5.489787523405777e-06,7.42949020080267e-06,2.1836303370018075e-06,3.2734549151935615e-06,8.852242280407031e-06,6.915723657299234e-06,1.0753271515798121e-05,9.740263173293706e-06,8.206178468394726e-06,1.1440271364304907e-05,1.4116400678700539e-05,9.197743034700356e-06,1.3298472191690852e-05,9.384177747602112e-06,1.0389189209407956e-05,1.0026728769603197e-05,7.994097791993241e-06,1.0905742113304744e-05,8.495706150899764e-06,1.149479795519548e-05,1.4725828830698976e-05,2.1335040953096767e-05,1.1275860768297439e-05,1.4729924511266016e-05,1.5044825843107609e-05,1.2092063165837878e-05,1.2597794444439426e-05,1.881638156915397e-05,1.7980004307615134e-05,2.306981320344907e-05
369,0.0,0.0,1.1591740934961682e-06,1.3608332820015666e-06,3.5937298574990203e-06,1.8956655971982817e-06,3.1206398984968965e-06,1.8018834849054673e-06,3.7117973978915974e-06,3.2918184089953876e-06,2.3033802861014213e-06,4.953591664198821e-06,5.496222743105982e-06,6.5895341521474926e-06,8.583185903400098e-06,1.3847175073161829e-05,1.3341859793097582e-05,9.37473618149864e-06,6.961736728788947e-06,7.802450358666196e-06,1.5395041647905032e-05,1.1604929263380637e-05,1.665950979860541e-05,1.0868409240302678e-05,1.103939775738751e-05,1.0959365780107944e-05,9.146156004013471e-06,1.6454686931926982e-05,1.2222595245603446e-05,1.907536227120154e-05,2.2207092127193104e-05,1.932265094633949e-05,1.3056443677800806e-05,1.3433659155880702e-05,2.0740438559707933e-05,1.1450039238810084e-05,2.0689677646817333e-05,2.1107239417252763e-05
385,0.0,7.962359192999896e-07,2.3999984639994086e-06,2.409404957908123e-06,2.6684497134006614e-06,3.9055597200012e-06,3.900810657597558e-06,3.4491630302978247e-06,4.5874694114977214e-06,4.972461959694697e-06,7.1585350542015266e-06,4.673551200294821e-06,4.032305475538538e-06,5.177431776600267e-06,9.35503737345822e-06,8.762623465516824e-06,7.329158244902996e-06,7.684634868568764e-06,1.2638397861002156e-05,8.146251039604594e-06,1.1575094940002063e-05,8.210508768895092e-06,1.1793605921201089e-05,1.4490080635144937e-05,1.2355582221014528e-05,1.4443652275376775e-05,9.409376440076784e-06,1.222168939298143e-05,1.7682016937399987e-05,1.5757951398297114e-05,1.1917563179856294e-05,1.8839446430492546e-05,1.7927562154582114e-05,1.6197328569328135e-05,2.7588134405696978e-05,1.670807382254112e-05,2.3390372527113186e-05,2.8415183187609638e-05
401,0.0,3.8363587199996556e-07,2.8505755530001957e-06,2.860630047005069e-06,3.1770721079910084e-06,1.022631920998829e-06,2.243245688103718e-06,1.7530858637965914e-06,4.7348770724980545e-06,3.763168599599416e-06,3.896689972504725e-06,5.3811565262977536e-06,6.119916427799466e-06,5.76294207075017e-06,7.949754033300742e-06,6.157624337991273e-06,9.826804699202777e-06,1.0962170970303698e-05,1.2635042902034668e-05,1.3352386614306838e-05,1.1465690546703862e-05,5.688525166204998e-06,1.3785727823285548e-05,1.874848607944339e-05,1.707935647049505e-05,1.086527540609304e-05,1.4061124089359827e-05,1.762553705308818e-05,1.3848835878002008e-05,1.719348858719086e-05,1.5972297579015248e-05,2.076395967047308e-05,1.5808412818785827e-05,1.8278708633095752e-05,1.3092609495595554e-05,1.8673125763771303e-05,2.3979051576090253e-05,1.790189949420023e-05
417,0.0,7.720887059992076e-07,1.8073757493007777e-06,1.8119818394986274e-06,6.790538421011169e-07,3.4666087139172652e-06,4.034646981894083e-06,6.0833960802059165e-06,4.9873434578893635e-06,5.555489326199356e-06,6.236013070800035e-06,1.3116653953198325e-05,6.084873413816985e-06,1.068382516229859e-05,8.769791528469322e-06,9.076603252507285e-06,7.794024434635725e-06,8.562132927002268e-06,7.204600481127864e-06,1.4494100488833179e-05,1.0544701421687283e-05,1.886383049850457e-05,1.1436923860732369e-05,1.2275081238332947e-05,1.2333601705407274e-05,1.8530138965833653e-05,1.6880218486390497e-05,1.868177109060159e-05,1.660853654730428e-05,1.4627810581571918e-05,2.1138655524666494e-05,1.85976931248014e-05,1.8746775107726744e-05,1.7387033705098498e-05,2.3514277782056443e-05,2.669433683309963e-05,1.9035932127212788e-05,2.6221168776061857e-05
433,0.0,0.0,8.228528729942174e-07,3.418466814726657e-06,2.6960174063017728e-06,3.722292449100315e-06,2.986117078500397e-06,2.5348234598064536e-06,2.40242404500296e-06,3.7270322190000044e-06,6.4543405176001335e-06,6.48633488129477e-06,7.444086313493359e-06,7.553675457890062e-06,6.149938273919667e-06,1.0047060337491694e-05,9.124056571499505e-06,1.3014316416592298e-05,7.98389861409635e-06,1.0178657787596868e-05,1.4647465826463451e-05,1.2855967649088047e-05,1.658643999929248e-05,1.673768380409918e-05,9.585972614705557e-06,1.3926724819199703e-05,1.7483517610207112e-05,2.0504065570138714e-05,1.8293623148702038e-05,1.6387004994303044e-05,1.863614162150552e-05,2.116483391223604e-05,2.2124741932820404e-05,1.8942172528585168e-05,2.2624396844411145e-05,1.5042597087965704e-05,1.8216421850346626e-05,2.5262070319352696e-05
449,0.0,1.5462974178018232e-06,3.4561864827017083e-06,3.2489294309966115e-06,3.942757095661094e-06,3.1552551090023588e-06,5.3051890860015755e-06,5.4041802389964525e-06,6.928841789003889e-06,6.52091778360224e-06,8.512579303472423e-06,7.37282656799461e-06,8.033400724044405e-06,1.1826718174968891e-05,7.29484983540276e-06,9.999577289701769e-06,1.0492630433090872e-05,1.675648027116965e-05,1.095402226499974e-05,1.5412642315215665e-05,1.4979082752450222e-05,1.3891441554906328e-05,2.1332791570847405e-05,1.943926817697029e-05,1.955465263709783e-05,2.00671521408021e-05,1.4453052908413153e-05,1.4875185561874342e-05,1.9576755242282762e-05,1.8616064045413022e-05,2.616325242489018e-05,1.8405604003951527e-05,2.2193692992082046e-05,1.93233059074909e-05,2.5389470408755497e-05,2.712012137639603e-05,2.3622403457707705e-05,2.488697395365201e-05
465,0.0,6.486711660014244e-07,6.325326450018487e-07,0.0,6.924959801990483e-07,4.724975796305368e-06,2.4970760640018183e-06,6.556296122980919e-07,2.8942186572001454e-06,6.122351972694604e-06,5.337693912417447e-06,6.210403947541007e-06,8.806877117815767e-06,5.307355280706124e-06,9.169879000503825e-06,7.74502975170694e-06,8.796400260298875e-06,1.0227136121095799e-05,1.6286461828193268e-05,1.1426768486991757e-05,1.5662276608942508e-05,1.459642376600889e-05,1.7863286432397256e-05,1.3014922896894838e-05,1.4304770307894954e-05,1.8204694374602437e-05,1.3555795726794208e-05,1.6752292497813047e-05,1.4765730272989637e-05,2.7595717781409202e-05,1.970826120270717e-05,1.9647714355190263e-05,1.6693225906487115e-05,1.9210845511797028e-05,2.5063171365880288e-05,2.354641658009571e-05,3.49652223728901e-05,2.3493041829006564e-05
