time_s,i_I172_Iout_A,i_I56_Iout_A,v_vp_res_V,v_vpre1_res_V
0.0172654258,-1.36571499e-05,-1.79649154e-05,0.0,0.0
0.0172654294,-1.36571499e-05,-1.79564209e-05,0.0,0.0
0.0172654346,-1.36571499e-05,-1.79439618e-05,0.0,0.0
0.0172654421,-1.36571499e-05,-1.79258637e-05,0.0,0.0
0.0172654529,-1.36571499e-05,-1.7900033599999998e-05,0.0,0.0
0.0172654683,-1.36571499e-05,-1.78632666e-05,0.0,0.0
0.017265490499999998,-1.36571499e-05,-1.78106739e-05,0.0,0.0
0.017265522300000002,-1.36571499e-05,-1.7735617099999998e-05,0.0,0.0
0.0172655682,-1.36571499e-05,-1.76286989e-05,0.0,0.0
0.0172656344,-1.36571499e-05,-1.7477304700000002e-05,0.0,0.0
0.017265729900000002,-1.36571499e-05,-1.72646449e-05,0.0,0.0
0.017265867700000003,-1.36571499e-05,-1.69697493e-05,0.0,0.0
0.0172660667,-1.36571499e-05,-1.65694927e-05,0.0,0.0
0.017266354499999997,-1.36571499e-05,-1.60460537e-05,0.0,0.0
0.0172667703,-1.36571499e-05,-1.54059014e-05,0.0,0.0
0.0172673713,-1.36571499e-05,-1.4713492e-05,0.0,0.0
0.0172682404,-1.36571499e-05,-1.41143201e-05,0.0,0.0
0.017269497300000002,-1.36571499e-05,-1.37548055e-05,0.0,0.0
0.0172712605,-1.36571499e-05,-1.36680458e-05,0.0,0.0
0.017273204700000003,-1.36571499e-05,-1.36572227e-05,0.0,0.0
0.0172757036,-1.36571499e-05,-1.3655933599999999e-05,0.0,0.0
0.0172800494,-1.36571499e-05,-1.3656642299999999e-05,0.0,0.0
0.0172864115,-1.36571499e-05,-1.36579651e-05,0.0,0.0
0.017295669,-1.36571499e-05,-1.36559439e-05,0.0,0.0
0.017309031000000002,-1.36571499e-05,-1.3658476999999998e-05,0.0,0.0
0.0173281787,-1.36571499e-05,-1.36557324e-05,0.0,0.0
0.0173564569,-1.36571499e-05,-1.3658602699999998e-05,0.0,0.0
0.0173985505,-1.36571499e-05,-1.36556618e-05,0.0,0.0
0.0174647,-1.36571499e-05,-1.3658646399999999e-05,0.0,0.0
0.017596999000000002,-1.36571499e-05,-1.3655632999999999e-05,0.0,0.0
0.0178615971,-1.36571499e-05,-1.36586525e-05,0.0,0.0
0.018304547100000002,-1.36571499e-05,-1.36556344e-05,0.0,0.0
0.0191904469,-1.36571499e-05,-1.3658653899999998e-05,0.0,0.0
0.0209622466,-1.36571499e-05,-1.36556295e-05,0.0,0.0
0.0244372399,-1.36571499e-05,-1.36586555e-05,0.0,0.0
0.0313872267,-1.36571499e-05,-1.3655628699999998e-05,0.0,0.0
0.039797767299999995,-1.36571499e-05,-1.3658668599999999e-05,0.0,0.0
0.039797767399999996,-1.36571499e-05,-1.36568949e-05,0.0,0.015008333300000001
0.0397977676,-1.36571499e-05,-1.3656895e-05,0.0,0.0450249999
0.039797767899999996,-1.36571499e-05,-1.36568951e-05,0.0,0.1050583333
0.0397977686,-1.36571499e-05,-1.36568952e-05,0.0,0.2251249999
0.0397977691,-1.36571499e-05,-1.3656895399999999e-05,0.0,0.3281824836
0.0397977695,-1.3657149799999999e-05,-1.3656895499999999e-05,0.0,0.38615111480000003
0.0397977698,-1.3657149799999999e-05,-1.3656895599999999e-05,0.0,0.4474269379
0.039797770100000004,-1.3657149799999999e-05,-1.3656895699999999e-05,0.0,0.49706768570000004
0.0397977704,-1.3657150299999998e-05,-1.3656895799999999e-05,0.0,0.5551800344
0.0397977706,-1.36572044e-05,-1.3656895799999999e-05,0.0,0.5995305176000001
0.0397977707,-1.36572812e-05,-1.3656895799999999e-05,0.0,0.6171697927
0.0397977709,-1.36574418e-05,-1.36568959e-05,0.0,0.6411866099
0.0397977709,-1.3657487599999998e-05,-1.36568959e-05,0.0,0.6477360359000001
0.039797770999999996,-1.36575795e-05,-1.36568959e-05,0.0,0.660834888
0.0397977711,-1.3657762899999999e-05,-1.3656895999999999e-05,0.0,0.6867798491
0.0397977713,-1.36580321e-05,-1.3656895999999999e-05,0.0,0.7246523767
0.0397977718,-1.3658595899999999e-05,-1.36568961e-05,0.0,0.8003974319
0.0397977725,-1.3660653299999999e-05,-1.3656896299999998e-05,0.0,0.9259201417
0.039797773,-1.36638695e-05,-1.36568965e-05,0.0,1.0208338
0.0397977736,-1.3668969299999999e-05,-1.3656896599999998e-05,0.0,1.1384403
0.0397977742,-1.36737781e-05,-1.36568968e-05,0.0,1.2480617
0.0397977748,-1.3678456699999999e-05,-1.3656897e-05,0.0,1.3547365
0.039797776,-1.36878264e-05,-1.36568973e-05,0.0,1.5680861
0.0397977767,-1.3692918e-05,-1.36568975e-05,0.0,1.684043
0.0397977773,-1.36980086e-05,-1.36568977e-05,0.0,1.8
0.039797777400000005,-1.36986674e-05,-1.36568977e-05,0.0,1.8
0.03979777760000001,-1.3699986000000001e-05,-1.36568977e-05,0.0,1.8
0.039797777799999996,-1.3701963599999999e-05,-1.36568978e-05,0.0,1.8
0.039797778299999996,-1.37059162e-05,-1.36568979e-05,0.0,1.8
0.0397977793,-1.3713806599999998e-05,-1.36568982e-05,0.0,1.8
0.039797781299999994,-1.37295245e-05,-1.3656898699999999e-05,0.0,1.8
0.0397977853,-1.3760711799999998e-05,-1.36568998e-05,0.0,1.8
0.0397977933,-1.3822111799999999e-05,-1.3656902e-05,0.0,1.8
0.0397978093,-1.3941158e-05,-1.36569063e-05,0.0,1.8
0.039797841300000004,-1.41652973e-05,-1.36569146e-05,0.0,1.8
0.0397979053,-1.45649484e-05,-1.36569303e-05,0.0,1.8
0.0397980334,-1.5212453099999998e-05,-1.36569588e-05,0.0,1.8
0.0397982894,-1.61091212e-05,-1.3657005399999998e-05,0.0,1.8
0.0397986171,-1.67936008e-05,-1.3657049e-05,0.0,1.8
0.0397990416,-1.72967429e-05,-1.36570868e-05,0.0,1.8
0.0397995865,-1.76283314e-05,-1.3657115599999999e-05,0.0,1.8
0.0398003491,-1.7843028599999998e-05,-1.3657135699999999e-05,0.0,1.8
0.0398014036,-1.7944277199999997e-05,-1.36571461e-05,0.0,1.8
0.039802912100000004,-1.79793873e-05,-1.36571496e-05,0.0,1.8
0.0398051873,-1.79852316e-05,-1.3657149999999998e-05,0.0,1.8
0.0398087502,-1.79897968e-05,-1.3657149999999998e-05,0.0,1.8
0.039815876199999996,-1.79878052e-05,-1.3657149999999998e-05,0.0,1.8
0.039830128199999995,-1.79900489e-05,-1.36571499e-05,0.0,1.8
0.0398586321,-1.79878366e-05,-1.36571499e-05,0.0,1.8
0.0398977673,-1.79899768e-05,-1.36571499e-05,0.0,1.8
0.0398977674,-1.79878578e-05,-1.36571499e-05,0.0,1.7849916
0.0398977676,-1.79878586e-05,-1.36571499e-05,0.0,1.754975
0.0398977679,-1.79878605e-05,-1.36571499e-05,0.0,1.6949416
0.0398977686,-1.7987863499999998e-05,-1.36571499e-05,0.0,1.574875
0.0398977699,-1.79878626e-05,-1.36571499e-05,0.0,1.3347416
0.039897772600000006,-1.79877781e-05,-1.36571499e-05,0.0,0.8544750006
0.03989777320000001,-1.79877208e-05,-1.36571499e-05,0.0,0.7344083339999999
0.0398977746,-1.7986970899999998e-05,-1.36571499e-05,0.0,0.4942750008
0.039897776,-1.79847686e-05,-1.36571499e-05,0.0,0.2299340118
0.039897776700000005,-1.79834492e-05,-1.36571499e-05,0.0,0.1149670059
0.039897776999999995,-1.7982757899999997e-05,-1.36571499e-05,0.0,0.0574835029
0.0398977773,-1.79820557e-05,-1.36571499e-05,0.0,0.0
0.0398977774,-1.79818702e-05,-1.36571499e-05,0.0,0.0
0.039897777499999995,-1.79815703e-05,-1.36571499e-05,0.0,0.0
0.0398977777,-1.7981180999999998e-05,-1.36571499e-05,0.0,0.0
0.039897778099999996,-1.79803935e-05,-1.36571499e-05,0.0,0.0
0.039897778700000004,-1.79787958e-05,-1.36571499e-05,0.0,0.0
0.0398977801,-1.79755488e-05,-1.36571499e-05,0.0,0.0
0.039897782,-1.79710807e-05,-1.36571499e-05,0.0,0.0
0.0398977846,-1.79649154e-05,-1.36571499e-05,0.0,0.0
0.0398977881,-1.79564209e-05,-1.36571499e-05,0.0,0.0
0.0398977933,-1.79439618e-05,-1.36571499e-05,0.0,0.0
0.0398978009,-1.79258637e-05,-1.36571499e-05,0.0,0.0
0.0398978117,-1.7900033599999998e-05,-1.36571499e-05,0.0,0.0
0.0398978271,-1.78632666e-05,-1.36571499e-05,0.0,0.0
0.0398978492,-1.78106739e-05,-1.36571499e-05,0.0,0.0
0.0398978811,-1.7735617099999998e-05,-1.36571499e-05,0.0,0.0
0.03989792700000001,-1.76286989e-05,-1.36571499e-05,0.0,0.0
0.0398979932,-1.7477304700000002e-05,-1.36571499e-05,0.0,0.0
0.0398980886,-1.72646449e-05,-1.36571499e-05,0.0,0.0
0.0398982264,-1.69697493e-05,-1.36571499e-05,0.0,0.0
0.0398984255,-1.65694927e-05,-1.36571499e-05,0.0,0.0
0.039898713200000005,-1.60460537e-05,-1.36571499e-05,0.0,0.0
0.039899129000000005,-1.54059013e-05,-1.36571499e-05,0.0,0.0
0.0398997301,-1.4713492e-05,-1.36571499e-05,0.0,0.0
0.0399005991,-1.411432e-05,-1.36571499e-05,0.0,0.0
0.039901856000000006,-1.37548055e-05,-1.36571499e-05,0.0,0.0
0.039903619300000005,-1.36680458e-05,-1.36571499e-05,0.0,0.0
0.039905563399999996,-1.36572227e-05,-1.36571499e-05,0.0,0.0
0.0399080624,-1.3655933599999999e-05,-1.36571499e-05,0.0,0.0
0.0399124081,-1.3656642299999999e-05,-1.36571499e-05,0.0,0.0
0.039918770299999996,-1.36579651e-05,-1.36571499e-05,0.0,0.0
0.0399280278,-1.36559439e-05,-1.36571499e-05,0.0,0.0
0.039941389800000004,-1.3658476999999998e-05,-1.36571499e-05,0.0,0.0
0.0399605374,-1.36557324e-05,-1.36571499e-05,0.0,0.0
0.039988815700000006,-1.3658602699999998e-05,-1.36571499e-05,0.0,0.0
0.040030909200000006,-1.36556618e-05,-1.36571499e-05,0.0,0.0
0.0400970587,-1.3658646399999999e-05,-1.36571499e-05,0.0,0.0
0.040229357800000004,-1.3655632999999999e-05,-1.36571499e-05,0.0,0.0
0.0404939559,-1.36586525e-05,-1.36571499e-05,0.0,0.0
0.0409369058,-1.36556344e-05,-1.36571499e-05,0.0,0.0
0.04182280570000001,-1.3658653899999998e-05,-1.36571499e-05,0.0,0.0
0.0435946054,-1.36556295e-05,-1.36571499e-05,0.0,0.0
0.0470695988,-1.36586555e-05,-1.36571499e-05,0.0,0.0
0.054019585700000004,-1.3655628699999998e-05,-1.36571499e-05,0.0,0.0
0.0679195594,-1.3658655299999999e-05,-1.36571499e-05,0.0,0.0
0.0879195594,-1.3655637e-05,-1.36571499e-05,0.0,0.0
0.10791955950000001,-1.3658662e-05,-1.36571499e-05,0.0,0.0
0.1081856506,-1.3657148999999999e-05,-1.36571499e-05,0.0,0.0
0.1081856507,-1.3657148999999999e-05,-1.36571499e-05,0.0150083345,0.0
0.1081856508,-1.3657148999999999e-05,-1.36571499e-05,0.0450250036,0.0
0.1081856512,-1.3657148999999999e-05,-1.36571499e-05,0.1050583419,0.0
0.1081856518,-1.3657148999999999e-05,-1.36571499e-05,0.2251250184,0.0
0.1081856524,-1.36571489e-05,-1.3657149799999999e-05,0.3281824659,0.0
0.10818565270000001,-1.36571489e-05,-1.3657149799999999e-05,0.3861511232,0.0
0.1081856531,-1.36571489e-05,-1.3657149799999999e-05,0.4474269151,0.0
0.10818565340000001,-1.36571489e-05,-1.3657149799999999e-05,0.4970676591,0.0
0.10818565370000001,-1.36571489e-05,-1.3657150299999998e-05,0.5551800090000001,0.0
0.10818565390000001,-1.36571489e-05,-1.36572044e-05,0.5995304922,0.0
0.108185654,-1.36571489e-05,-1.36572812e-05,0.6171697748,0.0
0.10818565420000001,-1.36571489e-05,-1.3657441699999999e-05,0.6411865957999999,0.0
0.10818565420000001,-1.36571489e-05,-1.3657487599999998e-05,0.6477360168,0.0
0.1081856543,-1.36571489e-05,-1.36575795e-05,0.6608348588,0.0
0.10818565440000001,-1.36571489e-05,-1.3657762899999999e-05,0.6867797775000001,0.0
0.10818565460000001,-1.36571489e-05,-1.36580321e-05,0.7246522301,0.0
0.108185655,-1.36571489e-05,-1.3658595899999999e-05,0.8003971354,0.0
0.1081856557,-1.36571489e-05,-1.3660653299999999e-05,0.9259199774,0.0
0.1081856563,-1.36571489e-05,-1.36638695e-05,1.0208337,0.0
0.1081856569,-1.36571489e-05,-1.3668969299999999e-05,1.13844,0.0
0.1081856575,-1.36571489e-05,-1.36737781e-05,1.2480617,0.0
0.1081856581,-1.36571489e-05,-1.3678456699999999e-05,1.3547363,0.0
0.1081856593,-1.36571489e-05,-1.3687826299999999e-05,1.5680855,0.0
0.10818565990000001,-1.36571489e-05,-1.3692917899999998e-05,1.6840427,0.0
0.10818566060000001,-1.36571489e-05,-1.36980086e-05,1.7999999,0.0
0.1081856607,-1.36571489e-05,-1.36986674e-05,1.8,0.0
0.1081856608,-1.36571489e-05,-1.3699986000000001e-05,1.8,0.0
0.10818566110000001,-1.36571489e-05,-1.3701963599999999e-05,1.8,0.0
0.10818566160000001,-1.36571489e-05,-1.37059162e-05,1.8,0.0
0.1081856626,-1.3657148999999999e-05,-1.3713806599999998e-05,1.8,0.0
0.1081856646,-1.3657148999999999e-05,-1.37295245e-05,1.8,0.0
0.1081856686,-1.3657148999999999e-05,-1.37607119e-05,1.8,0.0
0.1081856766,-1.3657148999999999e-05,-1.3822112e-05,1.8,0.0
0.1081856926,-1.3657148999999999e-05,-1.39411583e-05,1.8,0.0
0.1081857246,-1.3657148999999999e-05,-1.41652979e-05,1.8,0.0
0.1081857886,-1.3657149099999999e-05,-1.45649495e-05,1.8,0.0
0.1081859166,-1.3657149199999999e-05,-1.5212454899999999e-05,1.8,0.0
0.1081861727,-1.3657149299999999e-05,-1.61091234e-05,1.8,0.0
0.1081865004,-1.3657149499999999e-05,-1.6793602299999998e-05,1.8,0.0
0.1081869249,-1.36571496e-05,-1.7296744e-05,1.8,0.0
0.1081874698,-1.3657149699999999e-05,-1.76283321e-05,1.8,0.0
0.1081882324,-1.3657149799999999e-05,-1.7843029e-05,1.8,0.0
0.1081892869,-1.3657149799999999e-05,-1.79442773e-05,1.8,0.0
0.1081907954,-1.36571499e-05,-1.79793873e-05,1.8,0.0
0.1081930705,-1.36571499e-05,-1.79852316e-05,1.8,0.0
0.1081966335,-1.36571499e-05,-1.79897968e-05,1.8,0.0
0.10820375950000001,-1.36571499e-05,-1.79878052e-05,1.8,0.0
0.1082180115,-1.36571499e-05,-1.79900489e-05,1.8,0.0
0.1082465155,-1.36571499e-05,-1.79878366e-05,1.8,0.0
0.1082856506,-1.36571499e-05,-1.79899768e-05,1.8,0.0
0.10828565070000001,-1.36571499e-05,-1.79878578e-05,1.7849916,0.0
0.10828565080000001,-1.36571499e-05,-1.79878586e-05,1.7549749,0.0
0.1082856512,-1.36571499e-05,-1.79878605e-05,1.6949416,0.0
0.1082856518,-1.36571499e-05,-1.7987863499999998e-05,1.5748749,0.0
0.1082856532,-1.36571499e-05,-1.79878626e-05,1.3347416,0.0
0.1082856558,-1.36571499e-05,-1.79877781e-05,0.8544749226,0.0
0.10828565650000001,-1.36571499e-05,-1.79877208e-05,0.7344082461000001,0.0
0.1082856578,-1.36571499e-05,-1.7986970899999998e-05,0.4942748931,0.0
0.1082856593,-1.36571499e-05,-1.79847686e-05,0.2299339991,0.0
0.10828565999999999,-1.36571499e-05,-1.79834492e-05,0.1149670008,0.0
0.1082856603,-1.36571499e-05,-1.7982757899999997e-05,0.0574835004,0.0
0.1082856606,-1.36571499e-05,-1.79820557e-05,0.0,0.0
0.1082856607,-1.36571499e-05,-1.79818702e-05,0.0,0.0
0.1082856608,-1.36571499e-05,-1.79815703e-05,0.0,0.0
0.108285661,-1.36571499e-05,-1.7981180999999998e-05,0.0,0.0
0.1082856613,-1.36571499e-05,-1.79803935e-05,0.0,0.0
