time_s,i_I172_Iout_A,i_I56_Iout_A,v_vpre_res_V,v_vpre1_res_V
0.453289583,-1.3657149699999999e-05,-1.79764909e-05,0.0,0.0
0.453289585,-1.3657149699999999e-05,-1.7971833899999998e-05,0.0,0.0
0.45328958770000005,-1.3657149699999999e-05,-1.79654446e-05,0.0,0.0
0.4532895913,-1.3657149699999999e-05,-1.79566579e-05,0.0,0.0
0.4532895967,-1.3657149699999999e-05,-1.7943861600000002e-05,0.0,0.0
0.4532896044,-1.3657149699999999e-05,-1.7925219999999997e-05,0.0,0.0
0.4532896156,-1.3657149699999999e-05,-1.78985704e-05,0.0,0.0
0.4532896314,-1.3657149699999999e-05,-1.78606379e-05,0.0,0.0
0.4532896543,-1.3657149699999999e-05,-1.78064278e-05,0.0,0.0
0.4532896871,-1.3657149699999999e-05,-1.77290317e-05,0.0,0.0
0.45328973450000004,-1.3657149699999999e-05,-1.76188332e-05,0.0,0.0
0.45328980280000003,-1.3657149699999999e-05,-1.7462860899999997e-05,0.0,0.0
0.4532899013,-1.3657149699999999e-05,-1.7243981e-05,0.0,0.0
0.4532900435,-1.3657149699999999e-05,-1.6940901799999998e-05,0.0,0.0
0.45329024900000003,-1.3657149799999999e-05,-1.65305375e-05,0.0,0.0
0.453290546,-1.3657149799999999e-05,-1.59961503e-05,0.0,0.0
0.45329097510000005,-1.3657149799999999e-05,-1.534771e-05,0.0,0.0
0.45329159550000003,-1.3657149799999999e-05,-1.46563569e-05,0.0,0.0
0.4532924925,-1.3657149799999999e-05,-1.4073122899999999e-05,0.0,0.0
0.4532937897,-1.3657149799999999e-05,-1.37358289e-05,0.0,0.0
0.4532955444,-1.3657149799999999e-05,-1.3667252899999999e-05,0.0,0.0
0.45329752689999997,-1.3657149799999999e-05,-1.3656661599999999e-05,0.0,0.0
0.4533000856,-1.3657149799999999e-05,-1.36572095e-05,0.0,0.0
0.4533045543,-1.3657149799999999e-05,-1.3655851399999998e-05,0.0,0.0
0.45331107179999997,-1.3657149799999999e-05,-1.3658746799999999e-05,0.0,0.0
0.453320569,-1.3657149799999999e-05,-1.3655296299999998e-05,0.0,0.0
0.45333423800000006,-1.3657149799999999e-05,-1.36591082e-05,0.0,0.0
0.45335387909999997,-1.3657149799999999e-05,-1.36551277e-05,0.0,0.0
0.453372447,-1.3657149799999999e-05,-1.36592243e-05,0.0,0.0
0.4533724471,-1.3657149799999999e-05,-1.36569217e-05,0.0180000014,0.0
0.4533724473,-1.3657149799999999e-05,-1.36569217e-05,0.0540000042,0.0
0.4533724477,-1.3657149799999999e-05,-1.3656921799999998e-05,0.1260000098,0.0
0.4533724485,-1.3657149799999999e-05,-1.3656922e-05,0.27000002100000003,0.0
0.4533724489,-1.3657149799999999e-05,-1.3656922099999998e-05,0.3420000266,0.0
0.45337244930000004,-1.3657149799999999e-05,-1.36569222e-05,0.4204744631,0.0
0.4533724496,-1.3657149799999999e-05,-1.36569223e-05,0.470323268,0.0
0.4533724498,-1.3657149799999999e-05,-1.3656922399999998e-05,0.5160354618,0.0
0.4533724501,-1.3657149799999999e-05,-1.3656923999999999e-05,0.5668339170000001,0.0
0.4533724502,-1.3657149799999999e-05,-1.36569258e-05,0.5775845073000001,0.0
