time_s,i_I56_Iout_A,v_vpre_res_V,v_vpre1_res_V
0.0149912338,-1.36556368e-05,0.0,0.0
0.0152557675,-1.36586486e-05,0.0,0.0
0.015698593,-1.3655638199999999e-05,0.0,0.0
0.0165842441,-1.3658650099999998e-05,0.0,0.0
0.0168302399,-1.36556432e-05,0.0,0.0
0.01683024,-1.36574134e-05,0.015008333300000001,0.015008333300000001
0.0168302402,-1.36574133e-05,0.0450249999,0.0450249999
0.0168302405,-1.36574132e-05,0.1050583333,0.1050583333
0.0168302412,-1.3657413e-05,0.2251249999,0.2251249999
0.0168302418,-1.36574129e-05,0.3281824487,0.3281824487
0.0168302421,-1.3657412799999998e-05,0.3861510885,0.3861510885
0.0168302424,-1.36574127e-05,0.44742689360000004,0.44742689360000004
0.0168302427,-1.36574126e-05,0.4970676338,0.4970676338
0.016830242999999998,-1.3657413e-05,0.5551799813,0.5551799813
0.0168302433,-1.3657467e-05,0.5995304552,0.5995304552
0.0168302434,-1.3657543799999998e-05,0.617169629,0.617169629
0.0168302435,-1.36577043e-05,0.6411864619000001,0.6411864619000001
0.0168302435,-1.3657750099999998e-05,0.6477358267,0.6477358267
0.0168302436,-1.3657842e-05,0.6608345563000001,0.6608345563000001
0.016830243800000002,-1.3658025399999998e-05,0.6867789349,0.6867789349
0.016830244,-1.36582946e-05,0.724650437,0.724650437
0.016830244400000003,-1.3658858199999999e-05,0.8003934414,0.8003934414
0.0168302451,-1.36609151e-05,0.9259306364000001,0.9259306364000001
0.0168302456,-1.3664130999999998e-05,1.0208534,1.0208534
0.0168302463,-1.36692298e-05,1.1384485,1.1384485
0.016830246899999998,-1.36740391e-05,1.2480898,1.2480898
0.0168302475,-1.36787168e-05,1.3547541,1.3547541
0.016830248699999998,-1.36880847e-05,1.5680826,1.5680826
0.0168302493,-1.3693175999999999e-05,1.6840413,1.6840413
0.0168302499,-1.36982662e-05,1.7999999,1.7999999
0.01683025,-1.3698924999999999e-05,1.8,1.8
0.016830250199999997,-1.3700243499999999e-05,1.8,1.8
0.0168302504,-1.37022209e-05,1.8,1.8
0.0168302509,-1.37061732e-05,1.8,1.8
0.0168302519,-1.37140629e-05,1.8,1.8
0.016830253899999998,-1.3729779599999999e-05,1.8,1.8
0.0168302579,-1.3760964499999999e-05,1.8,1.8
0.016830265900000002,-1.3822359699999999e-05,1.8,1.8
0.0168302819,-1.3941396799999999e-05,1.8,1.8
0.016830314000000002,-1.4165519299999999e-05,1.8,1.8
0.016830378,-1.4565141599999999e-05,1.8,1.8
0.016830506,-1.52126028e-05,1.8,1.8
0.016830762,-1.61092162e-05,1.8,1.8
0.0168310898,-1.67936835e-05,1.8,1.8
0.0168315143,-1.72968052e-05,1.8,1.8
0.0168320592,-1.7628374199999998e-05,1.8,1.8
0.0168328219,-1.78430506e-05,1.8,1.8
0.016833876400000003,-1.7944286000000002e-05,1.8,1.8
0.016835384999999998,-1.79793886e-05,1.8,1.8
0.0168376603,-1.7985231699999998e-05,1.8,1.8
0.0168402399,-1.79906857e-05,1.8,1.8
0.016840240000000003,-1.79885114e-05,1.7849916,1.7849916
0.016840240200000002,-1.79885121e-05,1.754975,1.754975
